case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
classes_10,400,15,30,10,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0416,0.0196,165,0.5875,valid
classes_100,401,15,30,100,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0413,0.0222,97,0.7575,valid
classes_1000,402,15,30,1000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0454,0.2272,106,0.735,valid
classes_10000,403,15,30,10000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0908,13.5998,120,0.7,valid
