Course	Room	Teacher	Time	Days	Students
83	12	43	(7, 8)	MWF	43 382 609 618 635 636 682 770 780 831 941 946 990 1010 1087
84	18	68	(2, 3)	MWF	43 106 112 122 145 152 157 189 198 211 230 231 280 282 293 327 336 374 379 390 400 423 426 441 460 474 476 491 492 546 561 565 572 593 653 668 719 783
85	30	69	(3, 4)	MWF	87 117 138 161 193 202 239 291 306 455 542 601 649
86	96	70	(14, 17)	M	44 420
87	105	70	(6, 9)	M	
88	22	71	(5, 7)	TTH	46 58 187 201 202 220 238 285 351 358 361 425 438 490 496 590 658 679 720 809 811 898 922 943 951
89	12	72	(11, 12)	MWF	46 164 283 371 476 542 679 784 1007
90	46	73	(0, 5)	M	47
92	25	74	(4, 5)	MWF	50 348 417 431 441 486 516 599 606 623 839 896 898 905 942 974 1011 1016 1033 1066 1102
93	67	75	(16, 17)	MWF	50 301 445 499 500 581 618 624 626 628 646 690 707 728 768 803 820 840 852 860 888 974 975 983 1000 1035 1078 1117
94	25	76	(6, 7)	MWF	51 103 162 199 245 559 580 583 619 657 660 675 678 685 731 768 784 821 826 840 850 865 945 989 1005 1015 1032 1048 1085 1107 1108
95	117	77	(7, 8)	MWF	52 286 393 541
96	34	78	(6, 7)	TH	52 236 400 483 606 706 761 762 782 815 835 858 882 889 904 914
97	107	12	(8, 11)	MW	163 395 420 499 687 811
98	26	79	(7, 8)	MWF	54 198 202 293 368 462 532 560 638 823 841 844
99	23	68	(0, 1)	MWF	54 138 198 239 293 298 306 352 361 368 379 466 473 601
100	41	81	(0, 5)	T	55 489 566 796
101	4	82	(13, 15)	MWF	55 146 218 402 415 422 594 684
102	18	83	(8, 9)	MWF	55 60 82 108 120 268 279 311 328 359 411 522 586 587 588 632 677 717 728 748 786 787 791 801 834 840 878 947 1015 1035 1048 1060
103	4	33	(4, 6)	MWF	127 426 463 500 517 820 887 984 1030 1042 1069
104	67	84	(4, 6)	MWF	61 92 123 173 203 205 252 255 256 286 328 369 419 427 564 571 605 868 1060
106	15	86	(2, 3)	MWF	62 74 100 114 137 295 341 354 509 532 577 582 596 597 604 608 609 617 630 634 636 639 646 650 658 659 660 661 665 667 670 676 681 691 693 696 698 702 712 729 735 746 755 786 796 799 801 819 823 834 841 842 844 852 857 863 867 883 891 907 928 939 959 971 990 1007 1083
107	35	87	(12, 13)	MWF	62 434 509 658 659 735 746 852
108	34	88	(0, 5)	T	63 80 148 153 219 331 337 545 682
109	122	89	(13, 15)	MW	63 139 408 452 494
110	122	90	(0, 5)	M	63 82 110 149 159
112	45	92	(7, 9)	TTHF	65 317
113	11	93	(10, 13)	M	65 365 470
114	107	19	(2, 3)	MWF	65 380 411 421 437 578 708 1100
115	34	94	(0, 2)	MWF	66 164 209 246 258 347 467 494 623 673 761 770 955 997
116	12	95	(3, 8)	T	66 129 179 258 290 407
117	23	96	(5, 10)	MTTHF	68 608 610 650 712 754 939 968 983 1041 1103
118	53	5	(0, 2)	MWF	69 206
119	34	88	(6, 11)	T	69 106 122 170 414 497 623
120	44	81	(4, 7)	M	70 192 204
121	46	82	(9, 10)	MWF	70
122	12	97	(17, 19)	TTH	71 168 358 377
123	28	98	(0, 1)	MWF	72 92 173 213 371 438 448 505 521 547 549 564 566 574 576 585 609 638 647 654 655 659 669 677 680 683 689 721 745 751 754 782 800 838 846 849 856 857 860 893 902 907 911 936 940 949 952 989 998 1004 1005 1013 1017 1029 1067 1070 1078 1080 1081 1087 1089 1098 1113 1117
124	56	99	(0, 5)	M	165 342
125	120	73	(11, 16)	M	72 165 244
